name,language,country,genre
Citizenfour,İngilizce,"ABD, Almanya, Birleşik Krallık","Belgesel, Biyografi, Casusluk"
Man with a Movie Camera,Yok (Sessiz),Sovyetler Birliği,"Belgesel, Deneysel"
The Act of Killing,"Endonezce, İngilizce","Danimarka, Norveç, Birleşik Krallık","Belgesel, Tarih, Suç"
Amy,İngilizce,Birleşik Krallık,"Belgesel, Biyografi, Müzik"
Jiro Dreams of Sushi,Japonca,ABD,"Belgesel, Yemek"
Free Solo,İngilizce,ABD,"Belgesel, Spor, Macera"
Icarus,"İngilizce, Rusça",ABD,"Belgesel, Spor, Gerilim"
Searching for Sugar Man,"İngilizce, Afrikanca","İsveç, Birleşik Krallık","Belgesel, Müzik"
Blackfish,İngilizce,ABD,"Belgesel, Çevre"
Earthlings,İngilizce,ABD,"Belgesel, Hayvan Hakları"
Yüzüklerin Efendisi: Yüzük Kardeşliği,İngilizce,"ABD, Yeni Zelanda","Fantastik, Macera"
Harry Potter ve Felsefe Taşı,İngilizce,"İngiltere, ABD","Fantastik, Aile"
Pan'ın Labirenti,İspanyolca,"İspanya, Meksika","Fantastik, Dram"
Prenses Gelin,İngilizce,ABD,"Fantastik, Komedi"
Ejderhanı Nasıl Eğitirsin,İngilizce,ABD,"Animasyon, Fantastik"
Stardust,İngilizce,"İngiltere, ABD","Fantastik, Romantik"
Başlangıç,İngilizce,"ABD, İngiltere","Bilim Kurgu, Fantastik"
Büyük Budapeşte Oteli,İngilizce,"Almanya, ABD","Komedi, Fantastik"
"Fantastik Canavarlar Nelerdir, Nerede Bulunurlar?",İngilizce,"İngiltere, ABD","Fantastik, Macera"
Kara Orman,Çince,Çin,"Fantastik, Aksiyon"
Spaceballs,İngilizce,ABD,Komedi
Monty Python and the Holy Grail,İngilizce,Birleşik Krallık,Komedi
Life of Brian,İngilizce,Birleşik Krallık,Komedi
The Big Lebowski,İngilizce,ABD,Komedi
This Is Spinal Tap,İngilizce,ABD,Komedi
Shaun of the Dead,İngilizce,Birleşik Krallık,Komedi
What We Do in the Shadows,İngilizce,Yeni Zelanda,Komedi
Borat,İngilizce,ABD,Komedi
Hot Fuzz,İngilizce,Birleşik Krallık,Komedi
Airplane!,İngilizce,ABD,Komedi
Hereditary (Ayin),İngilizce,ABD,"Korku, Gizem"
The Babadook,İngilizce,Avustralya,"Korku, Gerilim"
It Follows (Peşimdeki Şeytan),İngilizce,ABD,"Korku, Gizem"
The Witch (Cadı),İngilizce,"ABD, Kanada","Korku, Gizem"
A Quiet Place (Sessiz Bir Yer),İngilizce,ABD,"Korku, Bilim Kurgu"
Get Out (Kapan),İngilizce,ABD,"Korku, Gerilim"
The Conjuring (Korku Seansı),İngilizce,ABD,"Korku, Gerilim"
Train to Busan (Zombi Ekspresi),Korece,Güney Kore,"Korku, Aksiyon"
REC,İspanyolca,İspanya,"Korku, Gerilim"
The Exorcist (Şeytan),İngilizce,ABD,Korku
Blade Runner 2049,İngilizce,ABD,Bilim Kurgu
Yıldız Savaşları: İmparatorun Dönüşü,İngilizce,ABD,"Bilim Kurgu, Aksiyon, Macera"
Geliş,İngilizce,ABD,"Bilim Kurgu, Dram, Gizem"
2001: Uzay Macerası,İngilizce,"ABD, İngiltere","Bilim Kurgu, Macera"
Yapay Zeka,İngilizce,ABD,"Bilim Kurgu, Dram"
Başlangıç,İngilizce,"ABD, İngiltere","Bilim Kurgu, Aksiyon, Gerilim"
District 9,"İngilizce, Afrikaanca, IsiZulu","Güney Afrika, ABD, Yeni Zelanda, Kanada","Bilim Kurgu, Aksiyon, Gerilim"
Sonsuzluk Projesi,İngilizce,ABD,"Bilim Kurgu, Gerilim"
Gattaca,İngilizce,ABD,"Bilim Kurgu, Dram, Gerilim"
Matrix,İngilizce,"ABD, Avustralya","Bilim Kurgu, Aksiyon"
Aşk Her Yerde (Love Actually),İngilizce,Birleşik Krallık,Romantik Komedi
Not Defteri (The Notebook),İngilizce,Amerika Birleşik Devletleri,Romantik Dram
Titanik (Titanic),İngilizce,Amerika Birleşik Devletleri,Romantik Dram
Pride & Prejudice (Aşk ve Gurur),İngilizce,Birleşik Krallık,Romantik Dram
50 İlk Öpücük (50 First Dates),İngilizce,Amerika Birleşik Devletleri,Romantik Komedi
Sil Baştan (Eternal Sunshine of the Spotless Mind),İngilizce,Amerika Birleşik Devletleri,Romantik Bilim Kurgu
Amelie,Fransızca,Fransa,Romantik Komedi
